ID,Year,City,Brand,Spontaneous,Awareness,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Fre#visit,PPA,Spending,Segmentation,NPS#P3M,NPS#P3M#Group,Spending_use
437769,2018,Hà Nội,Aha Cafe,,Aha Cafe,Aha Cafe,Aha Cafe,,,,,,,,,,9.0,Promoter,
838213,2019,Hồ Chí Minh,Passio,Passio,Passio,,,,Maybe do not know it,,,,,,,,,,
120066,2017,Hải Phòng,Maxx Coffee,,Maxx Coffee,Maxx Coffee,,,,,,,,,,,,,
96600,2017,Hồ Chí Minh,Highlands Coffee,,Highlands Coffee,,,,,,,,,,,,,,
358484,2018,Hà Nội,Urban Station,Urban Station,Urban Station,Urban Station,,,,,,,,,,,,,
140359,2017,Hà Nội,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
409503,2018,Hồ Chí Minh,Cộng Cà Phê,,Cộng Cà Phê,,,,,,,,,,,,,,
445662,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,Other 1,,8.0,25.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),7.0,Passive,200.0
101932,2017,Hồ Chí Minh,Starbucks,Starbucks,Starbucks,,,,,,,,,,,,,,
788783,2019,Hồ Chí Minh,Other 3,Other,Other,Other,,,Know it very well,Other,,,,,,,,,
452721,2018,Nha Trang,Cộng Cà Phê,,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,,,,,,,,,,5.0,Detractor,
741655,2019,Hà Nội,Trung Nguyên,,Trung Nguyên,,,,Maybe do not know it,,,,,,,,,,
819209,2019,Hồ Chí Minh,Passio,,Passio,,,,Know a little,,,,,,,,,,
413672,2018,Cần Thơ,Other 2,Other 2,Other 2,Other 2,Other 2,Other 2,,,Other 2,,6.0,20.0,120.0,Seg.01 - Mass (<VND 25K),8.0,Passive,120.0
842138,2019,Hồ Chí Minh,Passio,Passio,Passio,Passio,Passio,,Know a little,,,,,,,,8.0,Passive,
431627,2018,Hà Nội,The Coffee House,,The Coffee House,The Coffee House,,,,,,,,,,,,,
134912,2017,Hồ Chí Minh,Highlands Coffee,,Highlands Coffee,,,,,,,,,,,,,,
817471,2019,Hà Nội,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Know it well,Cộng Cà Phê,Not Applicable,Not Applicable,1.0,50.0,50.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,50.0
134927,2017,Hải Phòng,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,Indepedent Cafe,20.0,,,,,,
419491,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,,,,,,,,,,,,,
830679,2019,Hà Nội,Trung Nguyên,,Trung Nguyên,Trung Nguyên,,,Know a little,Trung Nguyên,,,,,,,,,
448924,2018,Hà Nội,Highlands Coffee,,Highlands Coffee,Highlands Coffee,,,,,,,,,,,,,
830595,2019,Hà Nội,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,Know a little,Trung Nguyên,,,,,,,,,
371643,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,2.0,20.0,40.0,Seg.01 - Mass (<VND 25K),8.0,Passive,40.0
841277,2019,Hồ Chí Minh,Cheese Coffee,,Cheese Coffee,,,,Know it well,,,,,,,,,,
800571,2019,Cần Thơ,Street,Street,Street,Street,Street,,Know it well,,,,,,,,8.0,Passive,
368731,2018,Đà Nẵng,Trung Nguyên,,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
140485,2017,Hà Nội,Maxx Coffee,Maxx Coffee,Maxx Coffee,Maxx Coffee,,,,,,,,,,,,,
121394,2017,Hải Phòng,Saigon Café,,Saigon Café,,,,,,,,,,,,,,
805960,2019,Hà Nội,Other 1,Other,Other,Other,Other,Other,Know it very well,Other,Other,Not Applicable,5.0,25.0,125.0,Seg.02 - Mass Asp (VND 25K - VND 59K),8.0,Passive,125.0
831375,2019,Hồ Chí Minh,The Coffee House,,The Coffee House,,,,Know a little,The Coffee House,,,,,,,,,
118395,2017,Hà Nội,Milano,,Milano,,,,,,,,,,,,,,
138198,2017,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
831354,2019,Đà Nẵng,Phúc Long,,Phúc Long,Phúc Long,,,Know a little,,,,,,,,,,
115990,2017,Cần Thơ,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,Indepedent Cafe,30.0,,,,,,
733574,2019,Hà Nội,Street,,Street,Street,Street,,Know it very well,,,,,,,,9.0,Promoter,
791668,2019,Hà Nội,Mê Trang,,Mê Trang,,,,Maybe do not know it,,,,,,,,,,
805042,2019,Hải Phòng,Street,,Street,Street,,,Know a little,,,,,,,,,,
806339,2019,Hà Nội,Aha Cafe,Aha Cafe,Aha Cafe,Aha Cafe,,,Know it well,,,,,,,,,,
377402,2018,Hà Nội,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,Highlands Coffee,,4.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,200.0
138798,2017,Đà Nẵng,Trung Nguyên,,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,6.0,Detractor,
137948,2017,Hồ Chí Minh,Milano,,Milano,,,,,,,,,,,,,,
392408,2018,Hồ Chí Minh,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,1.0,12.0,12.0,Seg.01 - Mass (<VND 25K),6.0,Detractor,12.0
814156,2019,Hà Nội,Aha Cafe,Aha Cafe,Aha Cafe,Aha Cafe,Aha Cafe,Aha Cafe,Know it very well,Aha Cafe,Aha Cafe,Not Applicable,4.0,30.0,120.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,120.0
392032,2018,Hải Phòng,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,Highlands Coffee,,4.0,49.0,196.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,196.0
432847,2018,Nha Trang,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,,,,,,7.0,Passive,
124745,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,Street / Half street coffee (including carts),,4.0,,,,,,
141298,2017,Hồ Chí Minh,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,Indepedent Cafe,30.0,,,,,,
419493,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,3.0,20.0,60.0,Seg.01 - Mass (<VND 25K),9.0,Promoter,60.0
824257,2019,Hà Nội,Passio,Passio,Passio,Passio,,,Know a little,,,,,,,,,,
