ID,Year,City,Awareness,Attribute,BrandImage
110402,2017,Hải Phòng,Cộng Cà Phê,Good music,Cộng Cà Phê
806179,2019,Hà Nội,Starbucks,Good coffee taste,Starbucks
792023,2019,Hà Nội,Cộng Cà Phê,Good coffee taste,Cộng Cà Phê
806625,2019,Hải Phòng,Highlands Coffee,Nice environment design,Highlands Coffee
732821,2019,Hồ Chí Minh,Highlands Coffee,Convenient location,Highlands Coffee
816567,2019,Đà Nẵng,Cộng Cà Phê,Good place for socializing with family,Cộng Cà Phê
135371,2017,Hà Nội,KOI cafe,"Good other beverages (other than coffee, tea & ice-blended)",KOI cafe
412877,2018,Cần Thơ,Milano,Trusted brand,Milano
106583,2017,Hà Nội,Urban Station,Diversified menu,Urban Station
112296,2017,Hải Phòng,Trung Nguyên,Good value for money,Trung Nguyên
91801,2017,Hồ Chí Minh,Trung Nguyên,Nice environment design,Trung Nguyên
458361,2018,Hà Nội,Highlands Coffee,High speed of internet,Highlands Coffee
367324,2018,Đà Nẵng,Mộc Miên,Comfortable and relaxing environment,Mộc Miên
794385,2019,Hồ Chí Minh,The Coffee House,Trusted brand,The Coffee House
810853,2019,Hà Nội,Runam cafe,Nice environment design,Runam cafe
823711,2019,Hà Nội,Highlands Coffee,Feel I belong here,Highlands Coffee
433149,2018,Hải Phòng,Other 1,Convenient location,Other 1
765811,2019,Hà Nội,Other,Clean,Other
844796,2019,Hồ Chí Minh,Highlands Coffee,"Good other beverages (other than coffee, tea & ice-blended)",Highlands Coffee
729019,2019,Hồ Chí Minh,Starbucks,Good place for socializing with colleagues,Starbucks
445325,2018,Hải Phòng,Other 1,Good place for socializing with friends,Other 1
819121,2019,Cần Thơ,Other,Good place for socializing with colleagues,Other
433334,2018,Hà Nội,Trung Nguyên,Friendly staff,Trung Nguyên
135173,2017,Hồ Chí Minh,Highlands Coffee,Feel I belong here,Highlands Coffee
448908,2018,Hà Nội,Milano,Good place for studying,Milano
787289,2019,Hà Nội,Trung Nguyên,Quick speed of service,Trung Nguyên
409619,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Have new product regularly,Street / Half street coffee (including carts)
448896,2018,Hà Nội,Starbucks,Clean,Starbucks
803560,2019,Hồ Chí Minh,Highlands Coffee,Trusted brand,Highlands Coffee
818185,2019,Hà Nội,The Coffee House,Good value for money,The Coffee House
756045,2019,Đà Nẵng,Other,"Good other beverages (other than coffee, tea & ice-blended)",Other
797933,2019,Hà Nội,Other,High speed of internet,Other
138448,2017,Hà Nội,Starbucks,Good place for relaxing,Starbucks
391108,2018,Hồ Chí Minh,The Coffee House,Feel I belong here,The Coffee House
802537,2019,Hà Nội,Highlands Coffee,Have new product regularly,Highlands Coffee
746594,2019,Hà Nội,Highlands Coffee,Good music,Highlands Coffee
432423,2018,Đà Nẵng,Street / Half street coffee (including carts),Good place for socializing with family,Street / Half street coffee (including carts)
457583,2018,Hồ Chí Minh,Trung Nguyên,Have new product regularly,Trung Nguyên
458710,2018,Nha Trang,Other 2,Good place for studying,Other 2
441926,2018,Hải Phòng,Effoc,Clean,Effoc
451359,2018,Đà Nẵng,Other 1,Quick speed of service,Other 1
826969,2019,Hồ Chí Minh,Trung Nguyên,Good place for socializing with friends,Trung Nguyên
805588,2019,Nha Trang,Other,Good ice-blended taste,Other
818118,2019,Hồ Chí Minh,Urban Station,Convenient location,Urban Station
109237,2017,Cần Thơ,Indepedent Cafe,Good place for relaxing,Indepedent Cafe
419510,2018,Hải Phòng,Other 2,Good place for socializing with family,Other 2
389251,2018,Cần Thơ,Other 1,Popular brand,Other 1
849673,2019,Hồ Chí Minh,Trung Nguyên,Clean,Trung Nguyên
452541,2018,Hà Nội,Highlands Coffee,Convenient location,Highlands Coffee
392125,2018,Cần Thơ,Other 1,Clean,Other 1
345938,2018,Hồ Chí Minh,Trung Nguyên,Nice environment design,Trung Nguyên
835106,2019,Hồ Chí Minh,Đen Đá,Good place for studying,Đen Đá
789625,2019,Hà Nội,Highlands Coffee,High speed of internet,Highlands Coffee
140342,2017,Hà Nội,Trung Nguyên,Clean,Trung Nguyên
748554,2019,Hà Nội,Starbucks,Recommended by others,Starbucks
751063,2019,Hồ Chí Minh,Phúc Long,Comfortable and relaxing environment,Phúc Long
731273,2019,Hà Nội,Other,"Good other beverages (other than coffee, tea & ice-blended)",Other
834722,2019,Hồ Chí Minh,Street,Good place for studying,Street
440428,2018,Nha Trang,Other 2,Good music,Other 2
429053,2018,Hải Phòng,Other 1,Good value for money,Other 1
779863,2019,Hà Nội,Other,Comfortable and relaxing environment,Other
764857,2019,Hồ Chí Minh,Highlands Coffee,Good place for working / business meeting,Highlands Coffee
832053,2019,Hồ Chí Minh,Cheese Coffee,Popular brand,Cheese Coffee
394678,2018,Hải Phòng,Other 1,Feel I belong here,Other 1
801263,2019,Hà Nội,Cộng Cà Phê,Good place for relaxing,Cộng Cà Phê
795722,2019,Cần Thơ,Other,Good value for money,Other
452276,2018,Đà Nẵng,Long Cafe,Good coffee taste,Long Cafe
778682,2019,Hải Phòng,Other,Quick speed of service,Other
731084,2019,Hà Nội,Cộng Cà Phê,Good place for socializing with colleagues,Cộng Cà Phê
823665,2019,Hà Nội,Aha Cafe,Nice environment design,Aha Cafe
749176,2019,Hà Nội,Starbucks,Recommended by others,Starbucks
728697,2019,Đà Nẵng,Other,Clean,Other
102023,2017,Cần Thơ,Trung Nguyên,Friendly staff,Trung Nguyên
419803,2018,Nha Trang,Street / Half street coffee (including carts),Clean,Street / Half street coffee (including carts)
92821,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Good value for money,Street / Half street coffee (including carts)
731526,2019,Hà Nội,Milano,Nice environment design,Milano
127416,2017,Đà Nẵng,Trung Nguyên,Good value for money,Trung Nguyên
140343,2017,Hà Nội,Highlands Coffee,Good tea taste,Highlands Coffee
437947,2018,Hồ Chí Minh,Other 1,Quick speed of service,Other 1
812886,2019,Hồ Chí Minh,Passio,Good place for relaxing,Passio
818733,2019,Hà Nội,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
419055,2018,Cần Thơ,Trung Nguyên,Good place for socializing with colleagues,Trung Nguyên
399255,2018,Hồ Chí Minh,Trung Nguyên,"Good other beverages (other than coffee, tea & ice-blended)",Trung Nguyên
789449,2019,Hải Phòng,Highlands Coffee,Clean,Highlands Coffee
738508,2019,Hồ Chí Minh,Trung Nguyên,Good coffee taste,Trung Nguyên
735066,2019,Hà Nội,Urban Station,Clean,Urban Station
449279,2018,Hà Nội,Street / Half street coffee (including carts),Good place for socializing with colleagues,Street / Half street coffee (including carts)
460358,2018,Đà Nẵng,Long Cafe,Quick speed of service,Long Cafe
398191,2018,Hồ Chí Minh,Highlands Coffee,Good music,Highlands Coffee
105106,2017,Hà Nội,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
451422,2018,Hà Nội,Urban Station,Recommended by others,Urban Station
134487,2017,Hà Nội,Other Branded Cafe Chain,Comfortable and relaxing environment,Other Branded Cafe Chain
810194,2019,Cần Thơ,Other,Good place for relaxing,Other
449156,2018,Đà Nẵng,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
446196,2018,Hà Nội,Trung Nguyên,Good music,Trung Nguyên
376744,2018,Đà Nẵng,Mộc Miên,Feel I belong here,Mộc Miên
759494,2019,Hà Nội,Cộng Cà Phê,Good place for socializing with friends,Cộng Cà Phê
371600,2018,Đà Nẵng,Highlands Coffee,Good place for socializing with colleagues,Highlands Coffee
138552,2017,Đà Nẵng,Trung Nguyên,Clean,Trung Nguyên
100501,2017,Cần Thơ,Street / Half street coffee (including carts),Quick speed of service,Street / Half street coffee (including carts)
120325,2017,Đà Nẵng,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
805508,2019,Hồ Chí Minh,Thức Coffee,Good ice-blended taste,Thức Coffee
118238,2017,Hải Phòng,Indepedent Cafe,Good tea taste,Indepedent Cafe
834366,2019,Cần Thơ,Other,Good place for socializing with friends,Other
828324,2019,Hải Phòng,Trung Nguyên,Trusted brand,Trung Nguyên
405701,2018,Hà Nội,Other 2,"Good other beverages (other than coffee, tea & ice-blended)",Other 2
836223,2019,Đà Nẵng,Trung Nguyên,Quick speed of service,Trung Nguyên
451892,2018,Hà Nội,Cộng Cà Phê,Feel I belong here,Cộng Cà Phê
811560,2019,Cần Thơ,Mê Trang,Good coffee taste,Mê Trang
453621,2018,Đà Nẵng,The Coffee House,Good coffee taste,The Coffee House
451889,2018,Hà Nội,Other 1,Convenient location,Other 1
