id,year,city,brand,spontaneous,trial,p3m,p1m,comprehension,brand_likability,weekly,daily,visit,ppa,spending,segmentation,nps_p3m,nps_p3m_group,answer_index
89100,2017,Hồ Chí Minh,Trung Nguyên,No,Yes,Yes,Yes,Refuse,No,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),8.0,Passive,1
89100,2017,Hồ Chí Minh,Gong Cha,No,No,No,No,Refuse,No,No,No,,,,,,,2
89100,2017,Hồ Chí Minh,Street / Half street coffee (including carts),No,Yes,Yes,Yes,Refuse,No,Yes,No,6.0,15.0,90.0,Seg.01 - Mass (<VND 25K),,,3
89100,2017,Hồ Chí Minh,The Coffee Factory,No,No,No,No,Refuse,No,No,No,,,,,,,4
89100,2017,Hồ Chí Minh,Independent Cafe,Yes,Yes,Yes,Yes,Refuse,No,Yes,No,4.0,100.0,400.0,Seg.04 - Super Premium (VND 100K+),,,5
89101,2017,Hồ Chí Minh,Coffee Bean & Tea Leaf,No,Yes,No,No,Refuse,No,No,No,,,,,,,6
89101,2017,Hồ Chí Minh,Effoc,No,Yes,No,No,Refuse,No,No,No,,,,,,,7
89101,2017,Hồ Chí Minh,Saigon Café,No,Yes,Yes,Yes,Refuse,No,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,8
89101,2017,Hồ Chí Minh,Trung Nguyên,No,Yes,No,No,Refuse,No,No,No,,,,,,,9
89101,2017,Hồ Chí Minh,Independent Cafe,Yes,Yes,No,No,Refuse,No,No,No,,,,,,,10
89101,2017,Hồ Chí Minh,Street / Half street coffee (including carts),No,Yes,Yes,Yes,Refuse,No,No,No,1.0,10.0,10.0,Seg.01 - Mass (<VND 25K),,,11
89101,2017,Hồ Chí Minh,Milano,No,Yes,Yes,No,Refuse,No,No,No,,,,,5.0,Detractor,12
89102,2017,Hồ Chí Minh,Phúc Long,No,Yes,No,No,Refuse,No,No,No,,,,,,,13
89102,2017,Hồ Chí Minh,Street / Half street coffee (including carts),No,Yes,No,No,Refuse,No,No,No,,,,,,,14
89102,2017,Hồ Chí Minh,The Coffee House,Yes,Yes,No,No,Refuse,No,No,No,,,,,,,15
89102,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,Yes,Yes,Refuse,No,Yes,No,10.0,30.0,300.0,Seg.02 - Mass Asp (VND 25K - VND 59K),10.0,Promoter,16
89102,2017,Hồ Chí Minh,Trung Nguyên,No,Yes,No,No,Refuse,No,No,No,,,,,,,17
89102,2017,Hồ Chí Minh,Starbucks,Yes,Yes,No,No,Refuse,No,No,No,,,,,,,18
89102,2017,Hồ Chí Minh,Gong Cha,No,Yes,Yes,No,Refuse,No,No,No,,,,,5.0,Detractor,19
89102,2017,Hồ Chí Minh,KOI cafe,No,Yes,Yes,No,Refuse,No,No,No,,,,,5.0,Detractor,20
89102,2017,Hồ Chí Minh,Thức Coffee,No,Yes,No,No,Refuse,No,No,No,,,,,,,21
89613,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,No,Refuse,No,No,No,,,,,,,22
89613,2017,Hồ Chí Minh,The Coffee House,Yes,Yes,No,No,Refuse,No,No,No,,,,,,,23
89613,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,Yes,Yes,Refuse,No,Yes,No,4.0,24.0,96.0,Seg.01 - Mass (<VND 25K),10.0,Promoter,24
89613,2017,Hồ Chí Minh,Saigon Café,Yes,No,No,No,Refuse,No,No,No,,,,,,,25
89613,2017,Hồ Chí Minh,Passio,No,No,No,No,Refuse,No,No,No,,,,,,,26
89613,2017,Hồ Chí Minh,KOI cafe,No,No,No,No,Refuse,No,No,No,,,,,,,27
89613,2017,Hồ Chí Minh,Urban Station,No,No,No,No,Refuse,No,No,No,,,,,,,28
89613,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Yes,Yes,No,No,Refuse,No,No,No,,,,,,,29
89616,2017,Hồ Chí Minh,Street / Half street coffee (including carts),No,No,No,No,Refuse,No,No,No,3.0,20.0,60.0,Seg.01 - Mass (<VND 25K),,,30
89616,2017,Hồ Chí Minh,Highlands Coffee,No,No,No,No,Refuse,No,No,No,,,,,,,31
89616,2017,Hồ Chí Minh,Independent Cafe,No,No,No,No,Refuse,No,No,No,3.0,28.0,84.0,Seg.02 - Mass Asp (VND 25K - VND 59K),,,32
