id,city,companion_group,year
344108,Cần Thơ,Friends,2018
344465,Cần Thơ,Friends,2018
344532,Cần Thơ,Family,2018
344533,Cần Thơ,Friends,2018
344533,Cần Thơ,Colleagues / Business partner,2018
344534,Cần Thơ,Family,2018
344534,Cần Thơ,Friends,2018
344625,Cần Thơ,Friends,2018
344634,Cần Thơ,Boyfriend / Girlfriend,2018
344634,Cần Thơ,Colleagues / Business partner,2018
344634,Cần Thơ,Friends,2018
344635,Cần Thơ,Family,2018
344635,Cần Thơ,Friends,2018
344636,Cần Thơ,Colleagues / Business partner,2018
344636,Cần Thơ,Friends,2018
344636,Cần Thơ,Family,2018
344638,Cần Thơ,Family,2018
344639,Cần Thơ,Friends,2018
344641,Cần Thơ,Family,2018
344642,Cần Thơ,Boyfriend / Girlfriend,2018
344643,Cần Thơ,Boyfriend / Girlfriend,2018
344644,Cần Thơ,Friends,2018
344644,Cần Thơ,Family,2018
345343,Cần Thơ,Friends,2018
345343,Cần Thơ,Colleagues / Business partner,2018
345853,Hồ Chí Minh,Family,2018
345853,Hồ Chí Minh,Friends,2018
345938,Hồ Chí Minh,Alone,2018
345938,Hồ Chí Minh,Friends,2018
346076,Hồ Chí Minh,Family,2018
346249,Cần Thơ,Friends,2018
346359,Cần Thơ,Friends,2018
346366,Cần Thơ,Family,2018
346725,Cần Thơ,Friends,2018
346833,Cần Thơ,Family,2018
346833,Cần Thơ,Colleagues / Business partner,2018
346833,Cần Thơ,Friends,2018
346924,Cần Thơ,Colleagues / Business partner,2018
346924,Cần Thơ,Family,2018
346924,Cần Thơ,Friends,2018
346925,Cần Thơ,Colleagues / Business partner,2018
346925,Cần Thơ,Friends,2018
347591,Cần Thơ,Colleagues / Business partner,2018
347591,Cần Thơ,Family,2018
347592,Cần Thơ,Friends,2018
347592,Cần Thơ,Family,2018
347592,Cần Thơ,Colleagues / Business partner,2018
347593,Cần Thơ,Colleagues / Business partner,2018
347593,Cần Thơ,Family,2018
347593,Cần Thơ,Friends,2018
347594,Cần Thơ,Friends,2018
347594,Cần Thơ,Family,2018
347594,Cần Thơ,Colleagues / Business partner,2018
348220,Cần Thơ,Friends,2018
348221,Cần Thơ,Colleagues / Business partner,2018
348221,Cần Thơ,Friends,2018
348222,Cần Thơ,Friends,2018
348223,Cần Thơ,Boyfriend / Girlfriend,2018
348223,Cần Thơ,Friends,2018
348223,Cần Thơ,Alone,2018
348223,Cần Thơ,Colleagues / Business partner,2018
348224,Cần Thơ,Colleagues / Business partner,2018
348224,Cần Thơ,Family,2018
348224,Cần Thơ,Boyfriend / Girlfriend,2018
348224,Cần Thơ,Friends,2018
348225,Cần Thơ,Friends,2018
