id,city,daypart,visit_daypart,year,daypart_index
344108,Cần Thơ,0h - 9h,40.0,2018,1
344465,Cần Thơ,17h - 21h,4.0,2018,5
344532,Cần Thơ,17h - 21h,1.0,2018,5
344533,Cần Thơ,17h - 21h,1.0,2018,5
344534,Cần Thơ,17h - 21h,4.0,2018,5
344625,Cần Thơ,0h - 9h,24.0,2018,1
344634,Cần Thơ,0h - 9h,22.0,2018,1
344634,Cần Thơ,14h - 17h,16.0,2018,4
344634,Cần Thơ,11h - 14h,8.0,2018,3
344635,Cần Thơ,0h - 9h,12.0,2018,1
344636,Cần Thơ,9h - 11h,2.0,2018,2
344638,Cần Thơ,17h - 21h,5.0,2018,5
344639,Cần Thơ,17h - 21h,3.0,2018,5
344641,Cần Thơ,9h - 11h,2.0,2018,2
344641,Cần Thơ,0h - 9h,2.0,2018,1
344642,Cần Thơ,0h - 9h,4.0,2018,1
344643,Cần Thơ,17h - 21h,20.0,2018,5
344644,Cần Thơ,17h - 21h,5.0,2018,5
345343,Cần Thơ,0h - 9h,20.0,2018,1
345853,Hồ Chí Minh,9h - 11h,3.0,2018,2
345938,Hồ Chí Minh,0h - 9h,24.0,2018,1
346076,Hồ Chí Minh,17h - 21h,2.0,2018,5
346249,Cần Thơ,0h - 9h,25.0,2018,1
346359,Cần Thơ,17h - 21h,10.0,2018,5
346366,Cần Thơ,17h - 21h,5.0,2018,5
346725,Cần Thơ,0h - 9h,25.0,2018,1
346833,Cần Thơ,0h - 9h,22.0,2018,1
346833,Cần Thơ,17h - 21h,1.0,2018,5
346833,Cần Thơ,14h - 17h,1.0,2018,4
346924,Cần Thơ,0h - 9h,7.0,2018,1
346924,Cần Thơ,17h - 21h,9.0,2018,5
346924,Cần Thơ,11h - 14h,7.0,2018,3
346925,Cần Thơ,14h - 17h,4.0,2018,4
346925,Cần Thơ,0h - 9h,10.0,2018,1
346925,Cần Thơ,9h - 11h,10.0,2018,2
347591,Cần Thơ,0h - 9h,10.0,2018,1
347591,Cần Thơ,17h - 21h,13.0,2018,5
347591,Cần Thơ,14h - 17h,4.0,2018,4
347591,Cần Thơ,9h - 11h,1.0,2018,2
347592,Cần Thơ,17h - 21h,2.0,2018,5
347592,Cần Thơ,0h - 9h,16.0,2018,1
347592,Cần Thơ,14h - 17h,8.0,2018,4
347593,Cần Thơ,17h - 21h,10.0,2018,5
347593,Cần Thơ,0h - 9h,14.0,2018,1
347594,Cần Thơ,11h - 14h,1.0,2018,3
347594,Cần Thơ,17h - 21h,1.0,2018,5
347594,Cần Thơ,0h - 9h,22.0,2018,1
348220,Cần Thơ,17h - 21h,12.0,2018,5
348220,Cần Thơ,0h - 9h,12.0,2018,1
348221,Cần Thơ,17h - 21h,24.0,2018,5
348222,Cần Thơ,17h - 21h,25.0,2018,5
348223,Cần Thơ,17h - 21h,34.0,2018,5
348224,Cần Thơ,17h - 21h,5.0,2018,5
348224,Cần Thơ,9h - 11h,5.0,2018,2
348225,Cần Thơ,17h - 21h,25.0,2018,5
348225,Cần Thơ,0h - 9h,25.0,2018,1
348226,Cần Thơ,9h - 11h,6.0,2018,2
348226,Cần Thơ,17h - 21h,6.0,2018,5
348305,Cần Thơ,17h - 21h,4.0,2018,5
348306,Cần Thơ,0h - 9h,26.0,2018,1
348307,Cần Thơ,0h - 9h,26.0,2018,1
348308,Cần Thơ,0h - 9h,9.0,2018,1
348309,Cần Thơ,0h - 9h,26.0,2018,1
348310,Cần Thơ,0h - 9h,3.0,2018,1
348311,Cần Thơ,17h - 21h,5.0,2018,5
348312,Cần Thơ,17h - 21h,26.0,2018,5
348321,Cần Thơ,0h - 9h,24.0,2018,1
348322,Cần Thơ,11h - 14h,2.0,2018,3
348322,Cần Thơ,14h - 17h,2.0,2018,4
348327,Cần Thơ,0h - 9h,24.0,2018,1
348328,Cần Thơ,0h - 9h,20.0,2018,1
348398,Cần Thơ,17h - 21h,11.0,2018,5
348398,Cần Thơ,0h - 9h,11.0,2018,1
348399,Cần Thơ,0h - 9h,5.0,2018,1
348400,Cần Thơ,11h - 14h,10.0,2018,3
348401,Cần Thơ,0h - 9h,6.0,2018,1
348403,Hồ Chí Minh,17h - 21h,2.0,2018,5
348403,Hồ Chí Minh,14h - 17h,2.0,2018,4
349532,Hồ Chí Minh,14h - 17h,2.0,2018,4
349532,Hồ Chí Minh,17h - 21h,2.0,2018,5
349551,Hồ Chí Minh,11h - 14h,2.0,2018,3
349551,Hồ Chí Minh,14h - 17h,2.0,2018,4
349551,Hồ Chí Minh,17h - 21h,2.0,2018,5
349552,Hồ Chí Minh,11h - 14h,1.0,2018,3
349552,Hồ Chí Minh,14h - 17h,1.0,2018,4
349553,Hồ Chí Minh,14h - 17h,2.0,2018,4
349553,Hồ Chí Minh,21h+,1.0,2018,6
349553,Hồ Chí Minh,17h - 21h,5.0,2018,5
349764,Hồ Chí Minh,11h - 14h,4.0,2018,3
349874,Hồ Chí Minh,11h - 14h,9.0,2018,3
349874,Hồ Chí Minh,0h - 9h,6.0,2018,1
349874,Hồ Chí Minh,17h - 21h,9.0,2018,5
349957,Hồ Chí Minh,17h - 21h,5.0,2018,5
349957,Hồ Chí Minh,11h - 14h,3.0,2018,3
350072,Hồ Chí Minh,17h - 21h,1.0,2018,5
350090,Hồ Chí Minh,0h - 9h,17.0,2018,1
350141,Hồ Chí Minh,9h - 11h,4.0,2018,2
350148,Hồ Chí Minh,0h - 9h,2.0,2018,1
350491,Hồ Chí Minh,17h - 21h,1.0,2018,5
350491,Hồ Chí Minh,14h - 17h,2.0,2018,4
350491,Hồ Chí Minh,9h - 11h,1.0,2018,2
350576,Hồ Chí Minh,17h - 21h,4.0,2018,5
350723,Hồ Chí Minh,11h - 14h,1.0,2018,3
350723,Hồ Chí Minh,0h - 9h,13.0,2018,1
