id,city,year,needstates,day_daypart,needstate_group,matched_attribute
344108,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344108,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344465,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
344465,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
344465,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344532,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344532,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
344532,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
344532,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
344532,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
344533,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344533,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344533,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344534,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
344534,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
344534,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
344534,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
344534,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
344534,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
344534,Cần Thơ,2018,Drinking ice-blended,Overall,Drinking beverages,Good ice-blended drinks
344534,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344534,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344625,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344625,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344634,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
344634,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
344634,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
344634,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344634,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344634,Cần Thơ,2018,Studying / Reading books,Overall,Studying & Others,Work/study friendly
344634,Cần Thơ,2018,Studying / Reading books,Overall,Studying & Others,Study-friendly place
344634,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
344635,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344635,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
344635,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344636,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344636,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
344636,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
344636,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
