id,segmentation,visit,spending,brand_type,ppa
89100,Seg.01 - Mass (<VND 25K),6,90,Street,15
89100,Seg.03 - Premium (VND 60K - VND 99K),2,120,Chain,60
89100,Seg.04 - Super Premium (VND 100K+),4,400,Independent,100
89101,Seg.01 - Mass (<VND 25K),1,10,Street,10
89101,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Chain,30
89102,Seg.02 - Mass Asp (VND 25K - VND 59K),10,300,Chain,30
89613,Seg.01 - Mass (<VND 25K),4,96,Chain,24
89616,Seg.02 - Mass Asp (VND 25K - VND 59K),4,140,Chain,35
89616,Seg.02 - Mass Asp (VND 25K - VND 59K),3,84,Independent,28
89616,Seg.01 - Mass (<VND 25K),3,60,Street,20
89618,Seg.02 - Mass Asp (VND 25K - VND 59K),2,50,Street,25
89618,Seg.02 - Mass Asp (VND 25K - VND 59K),1,39,Chain,39
89963,Seg.01 - Mass (<VND 25K),30,360,Street,12
89965,Seg.02 - Mass Asp (VND 25K - VND 59K),8,240,Independent,30
89967,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Independent,50
90338,Seg.02 - Mass Asp (VND 25K - VND 59K),8,440,Chain,55
90339,Seg.01 - Mass (<VND 25K),3,45,Street,15
90418,Seg.01 - Mass (<VND 25K),4,60,Chain,15
90419,Seg.03 - Premium (VND 60K - VND 99K),4,320,Chain,80
90421,Seg.02 - Mass Asp (VND 25K - VND 59K),7,210,Chain,30
90421,Seg.01 - Mass (<VND 25K),17,221,Street,13
90422,Seg.01 - Mass (<VND 25K),10,150,Street,15
90423,Seg.02 - Mass Asp (VND 25K - VND 59K),1,40,Chain,40
90423,Seg.01 - Mass (<VND 25K),2,30,Street,15
90424,Seg.02 - Mass Asp (VND 25K - VND 59K),1,35,Chain,35
90424,Seg.01 - Mass (<VND 25K),11,110,Street,10
90519,Seg.01 - Mass (<VND 25K),4,60,Chain,15
91139,Seg.01 - Mass (<VND 25K),2,30,Street,15
91140,Seg.01 - Mass (<VND 25K),4,40,Street,10
91142,Seg.03 - Premium (VND 60K - VND 99K),3,270,Chain,90
91143,Seg.01 - Mass (<VND 25K),12,180,Street,15
91323,Seg.01 - Mass (<VND 25K),4,48,Street,12
91323,Seg.02 - Mass Asp (VND 25K - VND 59K),4,100,Chain,25
91439,Seg.02 - Mass Asp (VND 25K - VND 59K),3,150,Chain,50
91489,Seg.02 - Mass Asp (VND 25K - VND 59K),8,440,Chain,55
91490,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
91490,Seg.01 - Mass (<VND 25K),4,60,Street,15
91770,Seg.02 - Mass Asp (VND 25K - VND 59K),7,315,Chain,45
91770,Seg.01 - Mass (<VND 25K),2,20,Street,10
91801,Seg.01 - Mass (<VND 25K),8,80,Street,10
91852,Seg.02 - Mass Asp (VND 25K - VND 59K),10,500,Chain,50
91852,Seg.01 - Mass (<VND 25K),6,120,Independent,20
91853,Seg.01 - Mass (<VND 25K),4,48,Street,12
91854,Seg.01 - Mass (<VND 25K),12,120,Street,10
91855,Seg.01 - Mass (<VND 25K),18,180,Street,10
92021,Seg.02 - Mass Asp (VND 25K - VND 59K),3,90,Independent,30
92021,Seg.02 - Mass Asp (VND 25K - VND 59K),1,25,Street,25
92021,Seg.02 - Mass Asp (VND 25K - VND 59K),8,376,Chain,47
92022,Seg.02 - Mass Asp (VND 25K - VND 59K),4,144,Chain,36
92023,Seg.02 - Mass Asp (VND 25K - VND 59K),8,320,Chain,40
92071,Seg.01 - Mass (<VND 25K),4,48,Street,12
92072,Seg.03 - Premium (VND 60K - VND 99K),1,60,Chain,60
92072,Seg.01 - Mass (<VND 25K),1,15,Street,15
92072,Seg.02 - Mass Asp (VND 25K - VND 59K),2,50,Independent,25
92073,Seg.01 - Mass (<VND 25K),1,15,Street,15
92073,Seg.02 - Mass Asp (VND 25K - VND 59K),1,40,Chain,40
92073,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Independent,30
92075,Seg.02 - Mass Asp (VND 25K - VND 59K),4,100,Independent,25
92075,Seg.01 - Mass (<VND 25K),6,90,Street,15
92076,Seg.02 - Mass Asp (VND 25K - VND 59K),1,50,Chain,50
92076,Seg.01 - Mass (<VND 25K),2,20,Street,10
92078,Seg.04 - Super Premium (VND 100K+),4,400,Chain,100
92079,Seg.03 - Premium (VND 60K - VND 99K),8,480,Chain,60
92157,Seg.01 - Mass (<VND 25K),3,45,Street,15
