id,year,city,brand,trial,p3m,p1m,weekly,daily,visit,ppa,spending,segmentation,answer_index,segment_name,R_score,F_score,M_score,segment_key
89100,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),1,At-risk,2.0,1.0,3.0,2.0
89102,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,Yes,Yes,No,10.0,30.0,300.0,Seg.02 - Mass Asp (VND 25K - VND 59K),16,Silver,3.0,4.0,1.0,4.0
89613,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,Yes,Yes,No,4.0,24.0,96.0,Seg.01 - Mass (<VND 25K),24,Bronze,3.0,2.0,1.0,3.0
89616,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,Yes,Yes,No,4.0,35.0,140.0,Seg.02 - Mass Asp (VND 25K - VND 59K),33,Bronze,3.0,2.0,1.0,3.0
89618,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,Yes,No,No,1.0,39.0,39.0,Seg.02 - Mass Asp (VND 25K - VND 59K),35,At-risk,2.0,1.0,2.0,2.0
89618,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,No,No,0.0,0.0,0.0,,37,Churn,1.0,0.0,0.0,1.0
89967,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,No,No,0.0,0.0,0.0,,55,Churn,1.0,0.0,0.0,1.0
90338,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,Yes,Yes,No,8.0,55.0,440.0,Seg.02 - Mass Asp (VND 25K - VND 59K),58,Silver,3.0,4.0,2.0,4.0
90338,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,No,No,0.0,0.0,0.0,,59,Churn,1.0,0.0,0.0,1.0
90419,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,Yes,No,No,3.0,80.0,320.0,Seg.03 - Premium (VND 60K - VND 99K),77,At-risk,2.0,1.0,3.0,2.0
